participants,age,gender,academic_status,prof_exp_years,operators,accuracy,response time
15,29,male,freshman,4,5,1,5323
15,29,male,freshman,4,6,1,2996
15,29,male,freshman,4,7,1,7542
15,29,male,freshman,4,8,1,9004
15,29,male,freshman,4,9,1,8810
15,29,male,freshman,4,10,1,14479
15,29,male,freshman,4,11,0,4323
15,29,male,freshman,4,12,1,8926
15,29,male,freshman,4,13,1,4581
15,29,male,freshman,4,14,1,5084
15,29,male,freshman,4,15,1,3937
15,29,male,freshman,4,16,1,5515
15,29,male,freshman,4,17,1,8776
15,29,male,freshman,4,18,1,2452
15,29,male,freshman,4,19,1,4517
15,29,male,freshman,4,20,1,8115
15,29,male,freshman,4,21,1,11147
15,29,male,freshman,4,22,1,7461
15,29,male,freshman,4,23,1,2995
15,29,male,freshman,4,24,1,9052
15,29,male,freshman,4,25,1,4651
15,29,male,freshman,4,26,0,2101
15,29,male,freshman,4,27,1,4110
16,26,male,master,2,1,1,14176
16,26,male,master,2,2,1,38792
16,26,male,master,2,3,1,57601
16,26,male,master,2,4,1,20654
16,26,male,master,2,5,1,83109
16,26,male,master,2,6,1,28578
16,26,male,master,2,7,1,15769
16,26,male,master,2,8,1,13243
16,26,male,master,2,9,1,14413
16,26,male,master,2,10,1,14825
16,26,male,master,2,11,0,15856
16,26,male,master,2,12,1,35174
16,26,male,master,2,13,1,18511
16,26,male,master,2,14,0,18187
16,26,male,master,2,15,1,12568
16,26,male,master,2,16,1,13801
16,26,male,master,2,17,1,18734
16,26,male,master,2,18,1,15534
16,26,male,master,2,19,1,13712
16,26,male,master,2,20,1,34836
16,26,male,master,2,21,1,15985
16,26,male,master,2,22,1,27126
16,26,male,master,2,23,1,9938
16,26,male,master,2,24,1,19957
16,26,male,master,2,25,1,24100
16,26,male,master,2,26,1,23900
16,26,male,master,2,27,1,18109
17,21,male,freshman,2,1,1,4026
17,21,male,freshman,2,2,1,26393
17,21,male,freshman,2,3,0,37914
17,21,male,freshman,2,4,1,35719
17,21,male,freshman,2,5,1,148547
17,21,male,freshman,2,6,1,7098
17,21,male,freshman,2,7,1,11137
17,21,male,freshman,2,8,1,24638
17,21,male,freshman,2,9,1,4668
17,21,male,freshman,2,10,1,5073
17,21,male,freshman,2,11,1,22253
17,21,male,freshman,2,12,1,17628
17,21,male,freshman,2,13,1,34223
17,21,male,freshman,2,14,1,23153
17,21,male,freshman,2,15,1,23491
17,21,male,freshman,2,16,1,8245
17,21,male,freshman,2,17,1,12883
17,21,male,freshman,2,18,1,5781
17,21,male,freshman,2,19,1,28881
17,21,male,freshman,2,20,1,19203
17,21,male,freshman,2,21,1,2767
17,21,male,freshman,2,22,1,6356
17,21,male,freshman,2,23,1,12094
17,21,male,freshman,2,24,1,2936
17,21,male,freshman,2,25,1,6491
17,21,male,freshman,2,26,1,10159
17,21,male,freshman,2,27,1,3037
18,25,male,master,2,1,1,12456
18,25,male,master,2,2,1,8125
18,25,male,master,2,3,1,13433
18,25,male,master,2,4,1,17213
18,25,male,master,2,5,1,3636
18,25,male,master,2,6,1,8735
18,25,male,master,2,7,1,20605
18,25,male,master,2,8,1,15360
18,25,male,master,2,9,1,24281
18,25,male,master,2,10,0,35351
18,25,male,master,2,11,1,32145
18,25,male,master,2,12,1,14494
18,25,male,master,2,13,1,23799
18,25,male,master,2,14,1,14894
18,25,male,master,2,15,1,10631
18,25,male,master,2,16,1,9498
18,25,male,master,2,17,0,2548
18,25,male,master,2,18,1,4384
18,25,male,master,2,19,1,5172
18,25,male,master,2,20,1,1743
18,25,male,master,2,21,0,16423
18,25,male,master,2,22,0,18617
18,25,male,master,2,23,1,4144
18,25,male,master,2,24,1,6011
18,25,male,master,2,25,1,1512
18,25,male,master,2,26,0,3416
18,25,male,master,2,27,1,9070
19,22,male,senior,2,1,1,6055
19,22,male,senior,2,2,1,7154
19,22,male,senior,2,3,1,21399
19,22,male,senior,2,4,1,7819
19,22,male,senior,2,5,1,23015
19,22,male,senior,2,6,1,5650
19,22,male,senior,2,7,1,10104
19,22,male,senior,2,8,1,56931
19,22,male,senior,2,9,1,13661
19,22,male,senior,2,10,1,9396
19,22,male,senior,2,11,0,10570
19,22,male,senior,2,12,1,21850
19,22,male,senior,2,13,0,51993
19,22,male,senior,2,14,1,24404
19,22,male,senior,2,15,1,12600
19,22,male,senior,2,16,1,6930
19,22,male,senior,2,17,1,8073
19,22,male,senior,2,18,1,11670
19,22,male,senior,2,19,1,21778
19,22,male,senior,2,20,0,15844
19,22,male,senior,2,21,1,5660
19,22,male,senior,2,22,1,20231
19,22,male,senior,2,23,1,14605
19,22,male,senior,2,24,1,22133
19,22,male,senior,2,25,1,31171
19,22,male,senior,2,26,1,6528
19,22,male,senior,2,27,1,21471
20,27,female,master,0,1,1,7471
20,27,female,master,0,2,1,9208
20,27,female,master,0,3,1,27553
20,27,female,master,0,4,1,6270
20,27,female,master,0,5,1,39428
20,27,female,master,0,6,1,7086
20,27,female,master,0,7,1,24692
20,27,female,master,0,8,1,33902
20,27,female,master,0,9,1,17389
20,27,female,master,0,10,1,7887
20,27,female,master,0,11,1,27546
20,27,female,master,0,12,0,38554
20,27,female,master,0,13,1,16834
20,27,female,master,0,14,1,20148
20,27,female,master,0,15,1,7412
20,27,female,master,0,16,1,9006
20,27,female,master,0,17,0,47241
20,27,female,master,0,18,1,16537
20,27,female,master,0,19,1,13518
20,27,female,master,0,20,1,19825
20,27,female,master,0,21,1,6112
20,27,female,master,0,22,0,19111
20,27,female,master,0,23,1,29169
20,27,female,master,0,24,1,13360
20,27,female,master,0,25,1,42691
20,27,female,master,0,26,1,7968
20,27,female,master,0,27,1,15689
21,30,male,phd,5+,1,1,8210
21,30,male,phd,5+,2,1,4080
21,30,male,phd,5+,3,1,57038
21,30,male,phd,5+,4,1,12309
21,30,male,phd,5+,5,0,32069
21,30,male,phd,5+,6,1,10877
21,30,male,phd,5+,7,1,9610
21,30,male,phd,5+,8,1,8835
21,30,male,phd,5+,9,1,5584
21,30,male,phd,5+,10,1,23133
21,30,male,phd,5+,11,0,9698
21,30,male,phd,5+,12,1,6365
21,30,male,phd,5+,13,0,26585
21,30,male,phd,5+,14,1,24383
21,30,male,phd,5+,15,1,3282
21,30,male,phd,5+,16,1,20520
21,30,male,phd,5+,17,1,8982
21,30,male,phd,5+,18,1,3516
21,30,male,phd,5+,19,1,11023
21,30,male,phd,5+,20,1,11279
21,30,male,phd,5+,21,1,9568
21,30,male,phd,5+,22,1,9780
21,30,male,phd,5+,23,1,5623
21,30,male,phd,5+,24,1,18349
21,30,male,phd,5+,25,1,9755
21,30,male,phd,5+,26,1,11746
21,30,male,phd,5+,27,1,7219
22,26,male,master,4,1,1,14075
22,26,male,master,4,2,0,24008
22,26,male,master,4,3,1,5515
22,26,male,master,4,4,1,10357
22,26,male,master,4,5,0,2983
22,26,male,master,4,6,1,7521
22,26,male,master,4,7,1,24242
22,26,male,master,4,8,1,9846
22,26,male,master,4,9,1,3982
22,26,male,master,4,10,0,6084
22,26,male,master,4,11,0,972
22,26,male,master,4,12,0,10536
22,26,male,master,4,13,1,7303
22,26,male,master,4,14,1,9411
22,26,male,master,4,15,1,15062
22,26,male,master,4,16,1,19237
22,26,male,master,4,17,1,6823
22,26,male,master,4,18,1,4645
22,26,male,master,4,19,1,17769
22,26,male,master,4,20,1,13949
22,26,male,master,4,21,1,8266
22,26,male,master,4,22,1,13253
22,26,male,master,4,23,1,7295
22,26,male,master,4,24,1,4315
22,26,male,master,4,25,1,4803
22,26,male,master,4,26,0,5168
22,26,male,master,4,27,1,4118
23,25,male,phd,4,1,1,8674
23,25,male,phd,4,2,1,2355
23,25,male,phd,4,3,0,10839
23,25,male,phd,4,4,1,7302
23,25,male,phd,4,5,0,8438
23,25,male,phd,4,6,1,7456
23,25,male,phd,4,7,1,6217
23,25,male,phd,4,8,1,8705
23,25,male,phd,4,9,1,10142
23,25,male,phd,4,10,0,3800
23,25,male,phd,4,11,0,4103
23,25,male,phd,4,12,1,6710
23,25,male,phd,4,13,0,8773
23,25,male,phd,4,14,0,8010
